Repository                                          Stars  Created at  Description                                            
davecgh/go-spew                                     3722   2013        Implements a deep pretty printer for Go data struc...  
aelsabbahy/goss                                     3690   2015        Quick and Easy server testing/validation               
elves/elvish                                        3678   2013        Friendly Interactive Shell and Expressive Programm...  
contribsys/faktory                                  3674   2017        Language-agnostic persistent background job server     
alexflint/gallium                                   3670   2016        Build desktop applications in Go and HTML.             
nsf/termbox-go                                      3670   2012        Pure Go termbox implementation                         
golang-migrate/migrate                              3662   2018        Database migrations. CLI and Golang library.           
lifei6671/mindoc                                    3657   2017        Golang实现的基于beego框架的接口在线文...                            
rgburke/grv                                         3655   2017        GRV is a terminal interface for viewing git reposi...  
tj/node-prune                                       3651   2017        Remove unnecessary files from node_modules (.md, ....  
motemen/gore                                        3642   2015          Yet another Go REPL that works nicely. Featured ...  
google/gops                                         3639   2016        A tool to list and diagnose Go processes currently...  
emicklei/go-restful                                 3639   2012        package for building REST-style Web Services using...  
onsi/ginkgo                                         3637   2013        BDD Testing Framework for Go                           
go-flutter-desktop/go-flutter                       3621   2018        Flutter on Windows, MacOS and Linux - based on Flu...  
mitchellh/gox                                       3615   2013        A dead simple, no frills Go cross compile tool         
EasyDarwin/EasyDarwin                               3607   2014        open source、high performance、industrial rtsp s...      
mozilla/sops                                        3607   2015        Simple and flexible tool for managing secrets          
travisjeffery/jocko                                 3599   2016        Kafka implemented in Golang with built-in coordina...  
golang/tools                                        3596   2014        [mirror] Go Tools                                      
kashav/fsql                                         3590   2017        Search through your filesystem with SQL-esque quer...  
jpmorganchase/quorum                                3588   2016        A permissioned implementation of Ethereum supporti...  
zenazn/goji                                         3576   2014        Goji is a minimalistic web framework for Golang th...  
allegro/bigcache                                    3576   2016        Efficient cache for gigabytes of data written in G...  
jpillora/chisel                                     3576   2015        A fast TCP tunnel over HTTP                            
alecthomas/gometalinter                             3568   2014        DEPRECATED: Use https://github.com/golangci/golang...  
vmware-tanzu/velero                                 3567   2017        Backup and migrate Kubernetes applications and the...  
sql-machine-learning/sqlflow                        3554   2018        Brings SQL and AI together.                            
syndtr/goleveldb                                    3540   2013        LevelDB key/value database in Go.                      
elazarl/goproxy                                     3536   2012        An HTTP proxy library for Go                           
fanpei91/torsniff                                   3533   2016        torsniff - a sniffer that sniffs torrents from Bit...  
satori/go.uuid                                      3531   2013        UUID package for Go                                    
gchaincl/httplab                                    3521   2017        The interactive web server                             
goproxyio/goproxy                                   3515   2018        A global proxy for Go modules.                         
go-pg/pg                                            3515   2013        Golang ORM with focus on PostgreSQL features and p...  
gruntwork-io/terratest                              3514   2016         Terratest is a Go library that makes it easier to...  
gonum/gonum                                         3512   2017        Gonum is a set of numeric libraries for the Go pro...  
